#name                              A/B   FEC       mfec      mfecch    hubid     port      rocid     FEDid     FEDch     roc# 
FPix_BpO_D1_BLD5_PNL1_RNG1_ROC2         A        9      1     2     12      0      2      1290       1     2
FPix_BpO_D1_BLD5_PNL1_RNG1_ROC3         A        9      1     2     12      0      3      1290       1     3
FPix_BpO_D1_BLD5_PNL1_RNG1_ROC4         A        9      1     2     12      1      4      1290       1     4
FPix_BpO_D1_BLD5_PNL1_RNG1_ROC5         A        9      1     2     12      1      5      1290       1     5
FPix_BpO_D1_BLD5_PNL1_RNG1_ROC6         A        9      1     2     12      1      6      1290       1     6
FPix_BpO_D1_BLD5_PNL1_RNG1_ROC7         A        9      1     2     12      1      7      1290       1     7
FPix_BpO_D1_BLD5_PNL1_RNG1_ROC8         B        9      1     2     12      2      8      1290       2     0
FPix_BpO_D1_BLD5_PNL1_RNG1_ROC9         B        9      1     2     12      2      9      1290       2     1
FPix_BpO_D1_BLD5_PNL1_RNG1_ROC10         B        9      1     2     12      2      10      1290       2     2
FPix_BpO_D1_BLD5_PNL1_RNG1_ROC11         B        9      1     2     12      2      11      1290       2     3
FPix_BpO_D1_BLD5_PNL1_RNG1_ROC12         B        9      1     2     12      3      12      1290       2     4
FPix_BpO_D1_BLD5_PNL1_RNG1_ROC13         B        9      1     2     12      3      13      1290       2     5
FPix_BpO_D1_BLD5_PNL1_RNG1_ROC14         B        9      1     2     12      3      14      1290       2     6
FPix_BpO_D1_BLD5_PNL1_RNG1_ROC15         B        9      1     2     12      3      15      1290       2     7
FPix_BpO_D1_BLD6_PNL1_RNG1_ROC0         A        10      1     1     12      0      0      1290       29     0
FPix_BpO_D1_BLD6_PNL1_RNG1_ROC1         A        10      1     1     12      0      1      1290       29     1
FPix_BpO_D1_BLD6_PNL1_RNG1_ROC2         A        10      1     1     12      0      2      1290       29     2
FPix_BpO_D1_BLD6_PNL1_RNG1_ROC3         A        10      1     1     12      0      3      1290       29     3
FPix_BpO_D1_BLD6_PNL1_RNG1_ROC4         A        10      1     1     12      1      4      1290       29     4
FPix_BpO_D1_BLD6_PNL1_RNG1_ROC5         A        10      1     1     12      1      5      1290       29     5
FPix_BpO_D1_BLD6_PNL1_RNG1_ROC6         A        10      1     1     12      1      6      1290       29     6
